class name,field name 1,value,field name 2,value 2
DC_finds_pottery_form,name,Anthropomorphic vessel,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Bag shaped vessel (hole mouthed vessel),region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Baking pan,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Bowl,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Box,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Carinated bowl,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Cheese pot,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Cup,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Dipper,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Dome-shaped shallow bowls,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Feeding bowl,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Fikirtepe box ,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Fruit stand,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Globular jar,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Jug,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Mug,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Necked jars,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Shallow bowl ,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Spoon,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Tulip shaped beaker,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Vessel,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Askos,region,Thessaly
DC_finds_pottery_form,name,Baking pan,region,Thessaly
DC_finds_pottery_form,name,Basin,region,Thessaly
DC_finds_pottery_form,name,Bowl,region,Thessaly
DC_finds_pottery_form,name,Carinated bowl,region,Thessaly
DC_finds_pottery_form,name,Cheese pot,region,Thessaly
DC_finds_pottery_form,name,Collared jar,region,Thessaly
DC_finds_pottery_form,name,"Deep, globular jar",region,Thessaly
DC_finds_pottery_form,name,Dimini bowl ,region,Thessaly
DC_finds_pottery_form,name,Kylix,region,Thessaly
DC_finds_pottery_form,name,Fruitstand,region,Thessaly
DC_finds_pottery_form,name,Handless cup,region,Thessaly
DC_finds_pottery_form,name,Hole-mouthed jar,region,Thessaly
DC_finds_pottery_form,name,Mug,region,Thessaly
DC_finds_pottery_form,name,Pithos,region,Thessaly
DC_finds_pottery_form,name,Scoop,region,Thessaly
DC_finds_pottery_form,name,Skyphos,region,Thessaly
DC_finds_pottery_form,name,Askos,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Baking pan,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Carinated bowl,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Cheese pot,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Jar,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Collared bowl,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Collared jar,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Deep bowl,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Fruitstand,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Gouged bowl,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Husking bowl,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Medium bowl,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Piriform jar,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Pithos,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Platter,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Bowl,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Rhyton,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
