classname,field name 1,value 1,field name 2,value 2,field name 3,value 3
DC_finds_pottery_form,name,Anthropomorphic Vessel,german_name,Anthropomorphes Gefäß,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Zoomorphic Vessel,german_name,Zoomorphes Gefäß,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Askos,german_name,Askos,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Bag-shaped Vessel (Hole-mouthed Jar),german_name,Beutelförmiges Gefäß (Hole-mouthed Jar),region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Baking Pan,german_name,Backplatte,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Carinated Bowl,german_name,Knickwandschale,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Carinated Bowl with inverted rim,german_name,Knickrandschale,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Cheese Pot,german_name,“Cheese Pot”,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Globular Jar,german_name,Kugelförmiger Topf,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Cup,german_name,Tasse,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Dome-shaped Shallow Bowl,german_name,Kalottenförmige Schale,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Narrow-mouthed shallow Bowl,german_name,Engmundige Schale,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Jug,german_name,Krug,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Fikirtepe Box ,german_name,Fikirtepe Box ,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Lid,german_name,Deckel,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Mug,german_name,Becher,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Necked Jar (Collared Jar),german_name,Kragenhalsamphore,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Bowl,german_name,Schüssel,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Shallow Bowl ,german_name,Flache Schale,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Husking Bowl,german_name,“Husking Bowl”,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Sieve,german_name,Sieb,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Tulip-shaped Beaker,german_name,Tulpenförmger Becher,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_finds_pottery_form,name,Amphora,german_name,Amphore,region,Thessaly
DC_finds_pottery_form,name,Askos,german_name,Askos,region,Thessaly
DC_finds_pottery_form,name,Baking Pan,german_name,Backplatte,region,Thessaly
DC_finds_pottery_form,name,Basin,german_name,Becken,region,Thessaly
DC_finds_pottery_form,name,Bowl,german_name,Schale,region,Thessaly
DC_finds_pottery_form,name,Cup,german_name,Tasse,region,Thessaly
DC_finds_pottery_form,name,Carinated Bowl,german_name,Knickwandschale,region,Thessaly
DC_finds_pottery_form,name,Cheese Pot,german_name,“Cheese Pot”,region,Thessaly
DC_finds_pottery_form,name,Collared Jar,german_name,Kragenhalsamphore,region,Thessaly
DC_finds_pottery_form,name,Globular Jar,german_name,Kugelförmiger Topf,region,Thessaly
DC_finds_pottery_form,name,Dimini Bowl ,german_name,Dimini Schale,region,Thessaly
DC_finds_pottery_form,name,Fruitstand,german_name,Fruchtständer,region,Thessaly
DC_finds_pottery_form,name,Hole-mouthed Jar,german_name,“Hole-mouthed Jar”,region,Thessaly
DC_finds_pottery_form,name,Jug,german_name,Krug,region,Thessaly
DC_finds_pottery_form,name,Ladle,german_name,Schöpfkelle,region,Thessaly
DC_finds_pottery_form,name,Lamp,german_name,Lampe,region,Thessaly
DC_finds_pottery_form,name,Pithos,german_name,Pithos,region,Thessaly
DC_finds_pottery_form,name,Scoop,german_name,Schöpfgefäß,region,Thessaly
DC_finds_pottery_form,name,Tripod,german_name,Dreifuß,region,Thessaly
DC_finds_pottery_form,name,Tulip-shaped Beaker,german_name,Tulpenförmger Becher,region,Thessaly
DC_finds_pottery_form,name,Amphora,german_name,Amphore,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Askos,german_name,Askos,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Baking Pan,german_name,Backplatte,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Carinated Bowl,german_name,Knickwandschale,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Cheese Pot,german_name,“Cheese Pot”,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Cup,german_name,Tasse,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
DC_finds_pottery_form,name,Jar,german_name,Topf,region,Cyclades/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Peloponnese/Western Greece
