class name,field name 1,value,field name 2,value 2,field name 3,value 3
DC_region,name,Turkish Thrace,original_name,Türkisch Thrakien,country,Turkey
DC_region,name,Western Anatolia,original_name,Westanatolien,country,Turkey
DC_region,name,Southeastern Anatolia,original_name,Südostanatolien,country,Turkey
DC_region,name,Eastern Anatolia,original_name,Ostanatolien,country,Turkey
DC_region,name,Central Anatolia,original_name,Zentralanatolien,country,Turkey
DC_region,name,Eastern Aegean,original_name,Ostägäis,country,Greece
DC_region,name,Crete,original_name,Kreta,country,Greece
DC_region,name,Cyclades,original_name,Kykladen,country,Greece
DC_region,name,Central Greece,original_name,Zentralgriechenland,country,Greece
DC_region,name,Epirus - Northwestern Greece,original_name,Epirus - Nordwestgriechenland,country,Greece
DC_region,name,Ionian Islands,original_name,Ionische Inseln,country,Greece
DC_region,name,Western Macedonia,original_name,Westmakedonien,country,Greece
DC_region,name,Central Macedonia,original_name,Zentralmakedonien,country,Greece
DC_region,name,Eastern Macedonia,original_name,Ostmakedonien,country,Greece
DC_region,name,Peloponnese,original_name,Peloponnes,country,Greece
DC_region,name,Thessaly,original_name,Thessalien,country,Greece
DC_region,name,Thrace,original_name,Thrakien,country,Greece
DC_region,name,Western Greece,original_name,Westgriechenland,country,Greece
DC_province,name,Antalya,original_name,Antalya,region,Western Anatolia
DC_province,name,Burdur,original_name,Burdur,region,Western Anatolia
DC_province,name,Isparta,original_name,Isparta,region,Western Anatolia
DC_province,name,Afyon,original_name,Afyonkarahisar,region,Western Anatolia
DC_province,name,Aydin,original_name,Aydın,region,Western Anatolia
DC_province,name,Denizli,original_name,Denizli,region,Western Anatolia
DC_province,name,Izmir,original_name,İzmir,region,Western Anatolia
DC_province,name,Kutahya,original_name,Kütahya,region,Western Anatolia
DC_province,name,Manisa,original_name,Manisa,region,Western Anatolia
DC_province,name,Mugla,original_name,Muğla,region,Western Anatolia
DC_province,name,Usak,original_name,Uşak,region,Western Anatolia
DC_province,name,Balikesir,original_name,Balıkesir,region,Western Anatolia
DC_province,name,Bilecik,original_name,Bilecik,region,Western Anatolia
DC_province,name,Bursa,original_name,Bursa,region,Western Anatolia
DC_province,name,Canakkale,original_name,Çanakkale,region,Western Anatolia
DC_province,name,Yalova,original_name,Yalova,region,Western Anatolia
DC_province,name,Kocaeli,original_name,Kocaeli,region,Western Anatolia
DC_province,name,Sakarya,original_name,Sakarya,region,Western Anatolia
DC_province,name,Istanbul,original_name,İstanbul,region,Western Anatolia
DC_province,name,Kirklareli,original_name,Kırklareli,region,Turkish Thrace
DC_province,name,Tekirdag,original_name,Tekirdağ,region,Turkish Thrace
DC_province,name,Edirne,original_name,Edirne,region,Turkish Thrace
DC_province,name,Adiyaman,original_name,Adıyaman,region,Southeastern Anatolia
DC_province,name,Batman,original_name,Batman,region,Southeastern Anatolia
DC_province,name,Diyarbakir,original_name,Diyarbakır,region,Southeastern Anatolia
DC_province,name,Gaziantep,original_name,Gaziantep,region,Southeastern Anatolia
DC_province,name,Kilis,original_name,Kilis,region,Southeastern Anatolia
DC_province,name,Mardin,original_name,Mardin,region,Southeastern Anatolia
DC_province,name,Sanliurfa,original_name,Şanlıurfa,region,Southeastern Anatolia
DC_province,name,Siirt,original_name,Siirt,region,Southeastern Anatolia
DC_province,name,Sirnak,original_name,Şırnak,region,Southeastern Anatolia
DC_province,name,Agri,original_name,Ağrı,region,Eastern Anatolia
DC_province,name,Ardahan,original_name,Ardahan,region,Eastern Anatolia
DC_province,name,Bingol,original_name,Bingöl,region,Eastern Anatolia
DC_province,name,Bitlis,original_name,Bitlis,region,Eastern Anatolia
DC_province,name,Elazig,original_name,Elazığ,region,Eastern Anatolia
DC_province,name,Erzincan,original_name,Erzincan,region,Eastern Anatolia
DC_province,name,Erzurum,original_name,Erzurum,region,Eastern Anatolia
DC_province,name,Hakkari,original_name,Hakkari,region,Eastern Anatolia
DC_province,name,Igdir,original_name,Iğdır,region,Eastern Anatolia
DC_province,name,Kars,original_name,Kars,region,Eastern Anatolia
DC_province,name,Malatya,original_name,Malatya,region,Eastern Anatolia
DC_province,name,Mus,original_name,Muş,region,Eastern Anatolia
DC_province,name,Tunceli,original_name,Tunceli,region,Eastern Anatolia
DC_province,name,Van,original_name,Van,region,Eastern Anatolia
DC_province,name,Artvin,original_name,Artvin,region,Eastern Anatolia
DC_province,name,Rize,original_name,Rize,region,Eastern Anatolia
DC_province,name,Bayburt,original_name,Bayburt,region,Eastern Anatolia
DC_province,name,Trabzon,original_name,Trabzon,region,Eastern Anatolia
DC_province,name,Gumushane,original_name,Gümüşhane,region,Eastern Anatolia
DC_province,name,Aksaray,original_name,Aksaray,region,Central Anatolia
DC_province,name,Ankara,original_name,Ankara,region,Central Anatolia
DC_province,name,Cankiri,original_name,Çankırı,region,Central Anatolia
DC_province,name,Eskisehir,original_name,Eskişehir,region,Central Anatolia
DC_province,name,Karaman,original_name,Karaman,region,Central Anatolia
DC_province,name,Kayseri,original_name,Kayseri,region,Central Anatolia
DC_province,name,Kirikkale,original_name,Kırıkkale,region,Central Anatolia
DC_province,name,Kirsehir,original_name,Kırşehir,region,Central Anatolia
DC_province,name,Konya,original_name,Konya,region,Central Anatolia
DC_province,name,Nevsehir,original_name,Nevşehir,region,Central Anatolia
DC_province,name,Nigde,original_name,Niğde,region,Central Anatolia
DC_province,name,Sivas,original_name,Sivas,region,Central Anatolia
DC_province,name,Yozgat,original_name,Yozgat,region,Central Anatolia
DC_province,name,Hatay,original_name,Hatay,region,Central Anatolia
DC_province,name,Kahramanmaras,original_name,Kahramanmaraş,region,Central Anatolia
DC_province,name,Osmaniye,original_name,Osmaniye,region,Central Anatolia
