class name,fields name,field value,field name 2,second value
DC_country,name,Turkey,original_name,Türkei
DC_country,name,Greece,original_name,Griechenland
DC_area_areatype,name,cave or rockshelter,,
DC_area_areatype,name,cemetery or grave,,
DC_area_areatype,name,quarry,,
DC_area_areatype,name,settlement,,
DC_area_areatype,name,undefined,,
DC_area_settlementtype,name,lowland,,
DC_area_settlementtype,name,tell,,
DC_area_settlementtype,name,tepe,,
DC_area_settlementstructure,name,enclosure: ditch,,
DC_area_settlementstructure,name,enclosure: rampart,,
DC_area_settlementstructure,name,enclosure: wall,,
DC_area_settlementstructure,name,houses: free-standing,,
DC_area_settlementstructure,name,houses: agglutinated,,
DC_area_settlementstructure,name,houses: radial,,
DC_area_settlementstructure,name,enclosure: undetermined,,
DC_area_constructiontype,name,apsidal ,,
DC_area_constructiontype,name,circular,,
DC_area_constructiontype,name,one-room,,
DC_area_constructiontype,name,rectangular,,
DC_area_constructiontype,name,Tsangli house,,
DC_area_buildingtechnique,name,mud brick,,
DC_area_buildingtechnique,name,pavement,,
DC_area_buildingtechnique,name,pisé,,
DC_area_buildingtechnique,name,plaster wall,,
DC_area_buildingtechnique,name,stone socket,,
DC_area_buildingtechnique,name,wattle and daub,,
DC_area_specialfeatures,name,bench,,
DC_area_specialfeatures,name,channel,,
DC_area_specialfeatures,name,hearth,,
DC_area_specialfeatures,name,pit,,
DC_area_specialfeatures,name,post-hole,,
DC_area_specialfeatures,name,stone setting,,
DC_area_specialfeatures,name,storage building,,
DC_area_specialfeatures,name,storage pit,,
DC_area_specialfeatures,name,storage vessel,,
DC_area_specialfeatures,name,well,,
DC_area_specialfeatures,name,oven,,
DC_area_evidenceofgraveshumanremains,name,not present,,
DC_area_evidenceofgraveshumanremains,name,present,,
DC_area_evidenceofoccupation,name,fire place,,
DC_area_evidenceofoccupation,name,storage facilities,,
DC_area_evidenceofoccupation,name,post-hole,,
DC_area_evidenceofoccupation,name,stone setting,,
DC_area_evidenceofoccupation,name,pit,,
DC_area_caverockshelterstype,name,cave,,
DC_area_caverockshelterstype,name,rock shelter,,
DC_area_rawmaterial,name,obsidian,,
DC_area_rawmaterial,name,copper,,
DC_area_rawmaterial,name,limestone,,
DC_area_rawmaterial,name,flint,,
DC_area_rawmaterial,name,chert,,
DC_area_rawmaterial,name,clay,,
DC_area_exploitationtype,name,pinge,,
DC_area_exploitationtype,name,shaft mining,,
DC_area_exploitationtype,name,surface,,
DC_area_topography,name,intra mural,,
DC_area_topography,name,extra mural,,
DC_area_topography,name,in cave,,
DC_area_topography,name,next to cave,,
DC_area_topography,name,part of house,,
DC_area_mortuaryfeatures,name,pyre,,
DC_area_mortuaryfeatures,name,separating wall,,
DC_area_mortuaryfeatures,name,platform,,
DC_area_gravetype,name,cist grave,,
DC_area_gravetype,name,pit grave,,
DC_area_gravetype,name,vessel,,
DC_area_gravetype,name,none recorded,,
DC_area_typeofhumanremains,name,cremations,,
DC_area_typeofhumanremains,name,inhumations: complete bodies,,
DC_area_typeofhumanremains,name,secondary deposition,,
DC_area_agegroups,name,neonate ,,
DC_area_agegroups,name,infans I (0-6),,
DC_area_agegroups,name,infans II (7-12),,
DC_area_agegroups,name,juvenile (13-18),,
DC_area_agegroups,name,adult (19-40),,
DC_area_agegroups,name,adult-mature (19-45),,
DC_area_agegroups,name,mature (41-60),,
DC_area_agegroups,name,mature-senile (51-70),,
DC_area_agegroups,name,senile (60-),,
DC_area_agegroups,name,not recorded,,
DC_area_agegroups,name,part of specialist report,,
DC_area_agegroups,name,immature,,
DC_area_agegroups,name,mature,,
DC_area_agegroups,name,children,,
DC_area_agegroups,name,adults,,
DC_area_sexes,name,male individuals,,
DC_area_sexes,name,female individuals,,
DC_area_sexes,name,not specified,,
DC_area_sexes,name,part of specialist report,,
DC_area_manipulationofgraves,name,consecutive burials,,
DC_area_manipulationofgraves,name,construction of settlement,,
DC_area_manipulationofgraves,name,looting,,
DC_area_manipulationofgraves,name,none recorded,,
DC_finds_type,name,animal remains,,
DC_finds_type,name,botany,,
DC_finds_type,name,lithics,,
DC_finds_type,name,pottery,,
DC_finds_type,name,small finds,,
DC_finds_material,name,stone,,
DC_finds_material,name,obsidian,,
DC_finds_material,name,fabrics,,
DC_finds_material,name,spondylusshell,,
DC_finds_material,name,bone,,
DC_finds_material,name,shell,,
DC_finds_material,name,antler,,
DC_finds_material,name,horn,,
DC_finds_material,name,metal,,
DC_finds_material,name,marble,,
DC_finds_material,name,flint,,
DC_finds_material,name,chert,,
DC_finds_material,name,chalcedony,,
DC_finds_material,name,jasper,,
DC_finds_material,name,quartz,,
DC_finds_material,name,rock crystal,,
DC_finds_material,name,quartzite,,
DC_finds_material,name,radiolarite,,
DC_finds_material,name,clay,,
DC_finds_amount,name,1,,
DC_finds_amount,name,2-5,,
DC_finds_amount,name,6-10,,
DC_finds_amount,name,11-20,,
DC_finds_amount,name,21-50,,
DC_finds_amount,name,51-100,,
DC_finds_amount,name,101-250,,
DC_finds_amount,name,251-300,,
DC_finds_amount,name,301-500,,
DC_finds_amount,name,501-1000,,
DC_finds_amount,name,1001-5000,,
DC_finds_amount,name,5001-10000,,
DC_finds_amount,name,10001 and more,,
DC_finds_small_finds_category,name,tool,,
DC_finds_small_finds_category,name,jewellery,,
DC_finds_small_finds_category,name,figurines,,
DC_finds_small_finds_type,name,Fire dog,,
DC_finds_small_finds_type,name,Arrowshaft smoother,,
DC_finds_small_finds_type,name,Bucranium,,
DC_finds_small_finds_type,name,Fish hook,,
DC_finds_small_finds_type,name,Hammer,,
DC_finds_small_finds_type,name,Point,,
DC_finds_small_finds_type,name,Spoon,,
DC_finds_small_finds_type,name,Mortar,,
DC_finds_small_finds_type,name,Needle,,
DC_finds_small_finds_type,name,Net sinker,,
DC_finds_small_finds_type,name,Grinding stone,,
