"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MVNWBZJS","journalArticle","1981","Weißhaar H.-J.","Ausgrabungen in Tiryns 1978. 1979. Bericht zur frühhelladischen Keramik","AA","","","","","","1981","2016-02-04 19:06:08","2016-02-04 19:06:08","","220-256","","","","","","Weißhaar 1981 b","","","","","","","","","","","","","","","","","","Argolis; Frühbronzezeit; Keramik; Neo75-93-ASK; Peloponnes; Tiryns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHIUT7IC","bookSection","","Blennow M.-L.","Terracotta Figurines","","","","","","","","2016-02-04 19:06:06","2016-02-04 19:06:06","","77-82","","","","","","Blennow 1987","","","","","","","","","","","","","","","","","","Figurinen; Neo75-93-ASK; Neolithikum; Nordgriechenland; Paradeisos; Thrakien","","","","","","","","","","","","","","","","","","","","","Paradeisos","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARKEANNT","book","1991","","","","","","","","","1991","2016-02-04 19:06:04","2016-02-04 19:06:04","","","","","","","","Landscape archaeology as long-term history","Monumenta Archaeologica 16. UCLA Institute of Archaeology","","","","","Los Angeles","","","","A.J.Ammerman, JFielA 20 (1993) 367-372","","","","","","","","Abk. Sammelband; Alles; Frühbronzezeit; Grabungsbericht; Keos; Kykladen; Neo75-93-ASK; Neolithikum","","Cherry J.F., Davis J.L., Mantzourani E.","","","","","","","","","","","","","","","","","","","Landscape archaeology as long-term history: Northern Keos in","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43TIZPA2","bookSection","","Halstead P.","Lár'sa, Lár'sa, s'eida kai lachtár'sa","","","","","","","","2016-02-04 19:06:02","2016-02-04 19:06:02","","210-216","","","","","","Halstead 1992 b","","","","","","","","","","","","","","","","","","Neo75-93-ASK; Neolithikum; Nordgriechenland; Thessalien; Wirtschaft","","","","","","","","","","","","","","","","","","","","","Sti Mnimi Theochari 1992","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XH28UF8F","bookSection","","Gallis K.","Prosphates erevnas sti neolithikis Thessalia","","","","","","","","2016-02-04 19:05:59","2016-02-04 19:05:59","","202-209","","","","","","Gallis 1992","","","","","","","","","","","","","","","","","","Grabungsbericht; Neo75-93-ASK; Neolithikum; Nordgriechenland; Thessalien","","","","","","","","","","","","","","","","","","","","","Sti Mnimi Theochari 1992","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZTHEZQN","bookSection","","Orphanidi L.","Ta neolithika zoomorpha eidolia tis Thessalias","","","","","","","","2016-02-04 19:05:57","2016-02-04 19:05:57","","180-184","","","","","","Orphanidi 1992","","","","","","","","","","","","","","","","","","Figurinen; Neo75-93-ASK; Neolithikum; Nordgriechenland; Thessalien","","","","","","","","","","","","","","","","","","","","","Sti Mnimi Theochari 1992","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9IWNWUE4","bookSection","","Kotsakis K.","O neolithikos tropos paragoges. Ithagenis i apoikos","","","","","","","","2016-02-04 19:05:55","2016-02-04 19:05:55","","120-135","","","","","","Kotsakis 1992","","","","","","","","","","","","","","Neue Forschungen basierend auf Theorie vom paläolithischen","","","","Neo75-93-ASK; Neolithikum; Neolithisierung","","","","","","","","","","","","","","","","","","","","","Sti Mnimi Theochari 1992","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2AZAMPN","book","1992","-","Diethnes synedriou gia tin Archaia Thessalia sti Mnimi tou Dimitriou P.","","","","","","","1992","2016-02-04 19:05:54","2016-02-04 19:05:54","","","","","","","","Sti Mnimi Theochari 1992","Ypourgeio Politismou. Dimosievmata tou Archaiologikou Deltiou 48","","","","","Athen","","","","","","","","","","","","Abk.Sammelband; Alles; Frühbronzezeit; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69UNUJRS","journalArticle","1991","Chourmouziadis G., Kotsakis K., Andreou St.","Anaskaphi Toumbas 1989","AErgoMak","","","","","","1991, i.Dr.","2016-02-04 19:05:52","2016-02-04 19:05:52","","","","","","","","Chourmouziadis - Kotsakis - Andreou i.Dr.","","","","","","","","","","","","","","","","","","Alles; Frühbronzezeit; Grabungsbericht; Makedonien Zentral; Neo75-93-ASK; Nordgriechenland; Toumba Thessalonikis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRK2MQ8M","journalArticle","1991","Chourmouziadis G.","Toumba Thessalonikis","AErgoMak","","","","","","1991, i.Dr.","2016-02-04 19:05:50","2016-02-04 19:05:50","","...","","","","","","Chourmouziadis i.Dr.","","","","","","","","","","","","","","","","","","Alles; Frühbronzezeit; Grabungsbericht; Makedonien Zentral; Neo75-93-ASK; Nordgriechenland; Toumba Thessalonikis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
