fullname,region,pottery_type,name,reference,pages,filename
.\pottery\Crete\Decoration\Crete__Barbotine__Evans_1964__pl47_fig3.6.jpg,Crete,Decoration,Barbotine,BPU7IJGK,pl47_fig3.6,Crete__Barbotine__Evans_1964__pl47_fig3.6.jpg
.\pottery\Crete\Decoration\Crete__Brushed__Tomkins_2007__p26_fig1.5.7.jpg,Crete,Decoration,Brushed,DR2ZWXQB,p26_fig1.5.7,Crete__Brushed__Tomkins_2007__p26_fig1.5.7.jpg
.\pottery\Crete\Decoration\Crete__Burnished__Evans_1964__pl47_fig1.7.jpg,Crete,Decoration,Burnished,BPU7IJGK,pl47_fig1.7,Crete__Burnished__Evans_1964__pl47_fig1.7.jpg
.\pottery\Crete\Decoration\Crete__Coarse__Tomkins_2007__p42_fig1.14.2.jpg,Crete,Decoration,Coarse,DR2ZWXQB,p42_fig1.14.2,Crete__Coarse__Tomkins_2007__p42_fig1.14.2.jpg
.\pottery\Crete\Decoration\Crete__Grooved__Tomkins_2007__p26_fig1.5.2.jpg,Crete,Decoration,Grooved,DR2ZWXQB,p26_fig1.5.2,Crete__Grooved__Tomkins_2007__p26_fig1.5.2.jpg
.\pottery\Crete\Decoration\Crete__Incised_Pointillé_Decoration__Evans_1964__pl46_fig3.5.jpg,Crete,Decoration,Incised_Pointillé_Decoration,BPU7IJGK,pl46_fig3.5,Crete__Incised_Pointillé_Decoration__Evans_1964__pl46_fig3.5.jpg
.\pottery\Crete\Decoration\Crete__Incised__Evans_1964__pl49_fig1.1-15.jpg,Crete,Decoration,Incised,BPU7IJGK,pl49_fig1.1-15,Crete__Incised__Evans_1964__pl49_fig1.1-15.jpg
.\pottery\Crete\Decoration\Crete__Painted__Tomkins_2007__p26_fig1.5.8.jpg,Crete,Decoration,Painted,DR2ZWXQB,p26_fig1.5.8,Crete__Painted__Tomkins_2007__p26_fig1.5.8.jpg
.\pottery\Crete\Decoration\Crete__Pattern_Burnished__Tomkins_2007__p38_fig1.11.jpg,Crete,Decoration,Pattern_Burnished,DR2ZWXQB,p38_fig1.11,Crete__Pattern_Burnished__Tomkins_2007__p38_fig1.11.jpg
.\pottery\Crete\Decoration\Crete__Pellet_Decoration__Tomkins_2007__p26_fig1.5.6.jpg,Crete,Decoration,Pellet_Decoration,DR2ZWXQB,p26_fig1.5.6,Crete__Pellet_Decoration__Tomkins_2007__p26_fig1.5.6.jpg
