fullname,region,pottery_type,name,reference,pages,filename
.\pottery\Crete\Decoration\Crete__Barbotine__Evans_1964__pl47_fig3.6.tif,Crete,Decoration,Barbotine,BPU7IJGK,pl47_fig3.6.tif,Crete__Barbotine__Evans_1964__pl47_fig3.6.tif
.\pottery\Crete\Decoration\Crete__Brushed__Tomkins_2007__p26_fig1.5.7.tif,Crete,Decoration,Brushed,DR2ZWXQB,p26_fig1.5.7.tif,Crete__Brushed__Tomkins_2007__p26_fig1.5.7.tif
.\pottery\Crete\Decoration\Crete__Burnished__Evans_1964__pl47_fig1.7.tif,Crete,Decoration,Burnished,BPU7IJGK,pl47_fig1.7.tif,Crete__Burnished__Evans_1964__pl47_fig1.7.tif
.\pottery\Crete\Decoration\Crete__Coarse__Tomkins_2007__p42_fig1.14.2.tif,Crete,Decoration,Coarse,DR2ZWXQB,p42_fig1.14.2.tif,Crete__Coarse__Tomkins_2007__p42_fig1.14.2.tif
.\pottery\Crete\Decoration\Crete__Grooved__Tomkins_2007__p26_fig1.5.2.tif,Crete,Decoration,Grooved,DR2ZWXQB,p26_fig1.5.2.tif,Crete__Grooved__Tomkins_2007__p26_fig1.5.2.tif
.\pottery\Crete\Decoration\Crete__Incised_Pointillé_Decoration__Evans_1964__pl46_fig3.5.tif,Crete,Decoration,Incised_Pointillé_Decoration,BPU7IJGK,pl46_fig3.5.tif,Crete__Incised_Pointillé_Decoration__Evans_1964__pl46_fig3.5.tif
.\pottery\Crete\Decoration\Crete__Incised__Evans_1964__pl49_fig1.1-15.tif,Crete,Decoration,Incised,BPU7IJGK,pl49_fig1.1-15.tif,Crete__Incised__Evans_1964__pl49_fig1.1-15.tif
.\pottery\Crete\Decoration\Crete__Painted__Tomkins_2007__p26_fig1.5.8.tif,Crete,Decoration,Painted,DR2ZWXQB,p26_fig1.5.8.tif,Crete__Painted__Tomkins_2007__p26_fig1.5.8.tif
.\pottery\Crete\Decoration\Crete__Pattern_Burnished__Tomkins_2007__p38_fig1.11.tif,Crete,Decoration,Pattern_Burnished,DR2ZWXQB,p38_fig1.11.tif,Crete__Pattern_Burnished__Tomkins_2007__p38_fig1.11.tif
.\pottery\Crete\Decoration\Crete__Pellet_Decoration__Tomkins_2007__p26_fig1.5.6.tif,Crete,Decoration,Pellet_Decoration,DR2ZWXQB,p26_fig1.5.6.tif,Crete__Pellet_Decoration__Tomkins_2007__p26_fig1.5.6.tif
.\pottery\Crete\Decoration\Crete__Plastic_Cordon_Decoration__Evans_1964__pl46_fig1.8.tif,Crete,Decoration,Plastic_Cordon_Decoration,BPU7IJGK,pl46_fig1.8.tif,Crete__Plastic_Cordon_Decoration__Evans_1964__pl46_fig1.8.tif
.\pottery\Crete\Decoration\Crete__Plastic__Evans_1964__pl49_fig2.1-2.tif,Crete,Decoration,Plastic,BPU7IJGK,pl49_fig2.1-2.tif,Crete__Plastic__Evans_1964__pl49_fig2.1-2.tif
.\pottery\Crete\Decoration\Crete__Pointillé_Decoration__Evans_1964__pl46_fig1.4.tif,Crete,Decoration,Pointillé_Decoration,BPU7IJGK,pl46_fig1.4.tif,Crete__Pointillé_Decoration__Evans_1964__pl46_fig1.4.tif
.\pottery\Crete\Decoration\Crete__Red_On_Buff__Tomkins_2007__p47_fig1.16.4.tif,Crete,Decoration,Red_On_Buff,DR2ZWXQB,p47_fig1.16.4.tif,Crete__Red_On_Buff__Tomkins_2007__p47_fig1.16.4.tif
.\pottery\Crete\Decoration\Crete__Rippled_Burnished__Evans_1964__pl51_fig3.tif,Crete,Decoration,Rippled_Burnished,BPU7IJGK,pl51_fig3.tif,Crete__Rippled_Burnished__Evans_1964__pl51_fig3.tif
.\pottery\Crete\Decoration\Crete__Rippled__Evans_1964__pl51_fig3.tif,Crete,Decoration,Rippled,BPU7IJGK,pl51_fig3.tif,Crete__Rippled__Evans_1964__pl51_fig3.tif
.\pottery\Crete\Decoration\Crete__Scribble_Burnished__Evans_1964__pl43_fig2.tif,Crete,Decoration,Scribble_Burnished,BPU7IJGK,pl43_fig2.tif,Crete__Scribble_Burnished__Evans_1964__pl43_fig2.tif
.\pottery\Crete\Decoration\Crete__Wiped__Tomkins_2007__p47_fig1.16.1.tif,Crete,Decoration,Wiped,DR2ZWXQB,p47_fig1.16.1.tif,Crete__Wiped__Tomkins_2007__p47_fig1.16.1.tif
.\pottery\Crete\Detail\Crete__Concave_Flat_Base__Tomkins_2007__p28_fig1.7.13.tif,Crete,Detail,Concave_Flat_Base,DR2ZWXQB,p28_fig1.7.13.tif,Crete__Concave_Flat_Base__Tomkins_2007__p28_fig1.7.13.tif
.\pottery\Crete\Detail\Crete__Double_Horned_Wishbone_Handle__Tomkins_2007__p24_fig1.4.21.tif,Crete,Detail,Double_Horned_Wishbone_Handle,DR2ZWXQB,p24_fig1.4.21.tif,Crete__Double_Horned_Wishbone_Handle__Tomkins_2007__p24_fig1.4.21.tif
.\pottery\Crete\Detail\Crete__Ear_Handle__Tomkins_2007__p22_fig1.3.7.tif,Crete,Detail,Ear_Handle,DR2ZWXQB,p22_fig1.3.7.tif,Crete__Ear_Handle__Tomkins_2007__p22_fig1.3.7.tif
.\pottery\Crete\Detail\Crete__Everted_Rim__Tomkins_2007__p43_fig1.15.17.tif,Crete,Detail,Everted_Rim,DR2ZWXQB,p43_fig1.15.17.tif,Crete__Everted_Rim__Tomkins_2007__p43_fig1.15.17.tif
.\pottery\Crete\Detail\Crete__Fenestrated_Pedestal__Tomkins_2007__p37_fig1.10.27.tif,Crete,Detail,Fenestrated_Pedestal,DR2ZWXQB,p37_fig1.10.27.tif,Crete__Fenestrated_Pedestal__Tomkins_2007__p37_fig1.10.27.tif
